,artist,collab,weight
12084,Drumma Boy,Lil Peanut,1
12085,Juicy J,Lil Peanut,1
12086,Drumma Boy,P.B.Z.,1
12087,Drumma Boy,Future,1
12088,Drumma Boy,Criminal Mane,2
12089,Drumma Boy,Don Trip,1
12090,Drumma Boy,Young Buck,1
12091,Criminal Mane,Don Trip,1
12092,Criminal Mane,Young Buck,1
12093,Don Trip,Young Buck,1
12094,Degree,Gangsta Boo,1
12095,Degree,Allie Baby,1
12096,Degree,GK,1
12097,Degree,B Hav,1
12098,Degree,Kristyle,1
12099,Gangsta Boo,Kristyle,1
12100,Allie Baby,GK,1
12101,Allie Baby,Kristyle,1
12102,GK,Kristyle,1
12103,B Hav,Kristyle,1
12104,Drumma Boy,O.G. Boo Dirty,1
12105,Criminal Mane,O.G. Boo Dirty,1
12106,Criminal Mane,Young Dolph,1
12107,O.G. Boo Dirty,Young Dolph,1
12108,Drumma Boy,Bump,1
12109,Drumma Boy,Yung Kee,1
12110,Lionheart,Bump,1
12111,Lionheart,Yung Kee,1
12112,Bump,Yung Kee,1
12113,Drumma Boy,Devin Hill,1
12114,Drumma Boy,2 Deep,1
12115,Devin Hill,2 Deep,1
12116,Gorilla Zoe,Ball Greezy,1
12117,Gorilla Zoe,Young Dro,3
12118,Gorilla Zoe,Yung Ralph,2
12119,Gorilla Zoe,Gucci Mane,7
12120,Gorilla Zoe,Cap 1,1
12121,Cap 1,Yung Ralph,1
12122,Gorilla Zoe,Yo Gotti,2
12123,Gorilla Zoe,Ray Dinero,1
12124,Gorilla Zoe,Rick Ross,2
12125,Gorilla Zoe,Shawty Lo,4
12126,Gorilla Zoe,Rocko,2
12127,Shawty Lo,Rocko,2
12128,Gorilla Zoe,Sean Kingston,1
12129,Gorilla Zoe,Jacquees,1
12130,Gorilla Zoe,Jake Troth,1
12131,Gorilla Zoe,OJ Da Juiceman,2
12132,DJ Rell,Gorilla Zoe,7
12133,Gorilla Zoe,2 Chainz,1
12134,Gorilla Zoe,Sonny Digital,1
12135,2 Chainz,Sonny Digital,1
12136,Gorilla Zoe,Armstrong Hatian Fresh,1
12137,Gorilla Zoe,Prynce,1
12138,Gorilla Zoe,Waka Flocka Flame,1
12139,Gorilla Zoe,Rich Boy,1
12140,Gorilla Zoe,Lika Joon,1
12141,Gorilla Zoe,Cavie,1
12142,Gorilla Zoe,Kollosus,3
12143,Gorilla Zoe,Big A,1
12144,Gorilla Zoe,Trae Tha Truth,3
12145,Gorilla Zoe,Ray Paul,1
12146,Gorilla Zoe,JC,3
12147,Rick Ross,Kollosus,1
12148,Gorilla Zoe,Big Block,1
12149,Gorilla Zoe,Yung Chris,1
12150,Gorilla Zoe,EbonyLove,1
12151,Gorilla Zoe,Roxy Reynolds,1
12152,EbonyLove,Roxy Reynolds,1
12153,Gorilla Zoe,Yung Joc,4
12154,Gorilla Zoe,Big Gee,2
12155,Gorilla Zoe,Jody Breeze,2
12156,Gorilla Zoe,Block,1
12157,Block,Big Gee,1
12158,Gorilla Zoe,Breeze,1
12159,Breeze,JC,1
12160,Gorilla Zoe,Boyz N Da Hood,1
12161,Gorilla Zoe,D. Woods,1
12162,Jody Breeze,JC,1
12163,Rocko,Rich Homie Quan,1
12164,Rocko,Chief Keef,1
12165,Rocko,Jazze Pha,1
12166,Rocko,Joseline Hernandez,1
12167,Rocko,Dro,1
12168,Joseline Hernandez,Dro,1
12169,Rocko,Daddy 'O',1
12170,Rocko,Scooter,1
12171,Rocko,Geno,1
12172,Rocko,Rick Ross,1
12173,Rocko,Lloyd,2
12174,Rocko,Monica,2
12175,Mac Miller,ScHoolboy Q,3
12176,Mac Miller,Sir Michael Rocks,2
12177,Mac Miller,Earl Sweatshirt,4
12178,Mac Miller,Rick Ross,1
12179,Mac Miller,Mike Jones,1
12180,Mac Miller,Vince Staples,1
12181,Mac Miller,Da$H,1
12182,Earl Sweatshirt,Da$H,1
12183,Mac Miller,Bilal,1
12184,Mac Miller,Anderson .Paak,1
12185,Mac Miller,Ty Dolla $ign,1
12186,Mac Miller,Njomza,1
12187,Mac Miller,CeeLo Green,1
12188,Mac Miller,Ariana Grande,1
12189,Mac Miller,Kendrick Lamar,2
12190,Mac Miller,Wiz Khalifa,1
12191,Mac Miller,Ab-Soul,3
12192,Mac Miller,Lil B,1
12193,Mac Miller,Miguel,1
12194,Mac Miller,Chief Keef,1
12195,Mac Miller,Little Dragon,1
12196,Mac Miller,Future,1
12197,Mac Miller,Niki Randa,2
12198,Mac Miller,Action Bronson,2
12199,Mac Miller,"Tyler, The Creator",1
12200,Mac Miller,Vinny Radio,1
12201,Mac Miller,Iman Omari,2
12202,Kendrick Lamar,Iman Omari,1
12203,Mac Miller,Juicy J,1
12204,Mac Miller,Cam’ron,1
12205,Mac Miller,Lil Wayne,1
12206,Mac Miller,Chevy Woods,1
12207,Mac Miller,DJ Bonics,1
12208,Ciara,Macklemore,1
12209,Ciara,Kelly Rowland,1
12210,Ciara,Tekno,1
12211,Ciara,Missy Elliott,5
12212,Pitbull,Missy Elliott,2
12213,Ciara,Joe Jonas,2
12214,Ciara,T.I.,2
12215,Ciara,Nicki Minaj,2
12216,Ciara,Future,2
12217,Ciara,B.o.B,1
12218,Future,B.o.B,1
12219,Ciara,Rick Ross,1
12220,Ciara,Petey Pablo,1
12221,Ciara,Justin Timberlake,3
12222,Ciara,Jason Nevins,1
12223,Justin Timberlake,Jason Nevins,1
12224,Ciara,Usher,1
12225,Ciara,Chris Brown,1
12226,Ciara,Eric Kupper,1
12227,Ciara,Jonathan Peters,1
12228,Eric Kupper,Jonathan Peters,1
12229,Ciara,Ludacris,3
12230,Ciara,Jeezy,1
12231,Ciara,The Dream,1
12232,Ciara,Versatile,1
12233,Justin Timberlake,Versatile,1
12234,Ciara,Lil Jon,1
12235,Ciara,50 Cent,1
12236,Ciara,Chamillionaire,1
12237,Ciara,R. Kelly,2
12238,Ciara,Omar Chandla,1
12239,Ciara,Ryan Munroe,1
12240,Ciara,Soulseekerz,1
12241,Ciara,Jazze Pha,1
12242,Brianna Perry,Boosie Badazz,1
12243,Brianna Perry,Offset,1
12244,Brianna Perry,BlocBoy JB,1
12245,Brianna Perry,Hood Brat,1
12246,Brianna Perry,Ball Greezy,1
12247,Brianna Perry,Gunna,1
12248,Brianna Perry,YM Babie,1
12249,Gunna,YM Babie,1
12250,Brianna Perry,Lee Mazin,1
12251,Waka Flocka Flame,Neon Dreams,5
12252,Waka Flocka Flame,Chief Keef,1
12253,Waka Flocka Flame,Bo Deal,5
12254,Chief Keef,Bo Deal,1
12255,Waka Flocka Flame,Future,4
12256,Waka Flocka Flame,Lil Wayne,1
12257,Waka Flocka Flame,Machine Gun Kelly,1
12258,Waka Flocka Flame,David Blayne,4
12259,Waka Flocka Flame,Gucci Mane,30
12260,OJ Da Juiceman,David Blayne,1
12261,David Blayne,Gucci Mane,1
12262,Waka Flocka Flame,Judo,1
12263,Young Thug,Judo,1
12264,Waka Flocka Flame,Papoose,2
12265,Waka Flocka Flame,Rich Kid Shawty,1
12266,Papoose,Rich Kid Shawty,1
12267,Waka Flocka Flame,Offset,1
12268,Waka Flocka Flame,Ca$h Out,1
12269,Offset,Ca$h Out,1
12270,Waka Flocka Flame,WATCH THE DUCK,1
12271,Waka Flocka Flame,DJ Whoo Kid,4
12272,Tony Yayo,WATCH THE DUCK,1
12273,Tony Yayo,DJ Whoo Kid,1
12274,WATCH THE DUCK,DJ Whoo Kid,1
12275,Waka Flocka Flame,Sony,2
12276,Waka Flocka Flame,French Montana,19
12277,Waka Flocka Flame,Uncle Murda,2
12278,Waka Flocka Flame,Rah Diggs,1
12279,Uncle Murda,Papoose,1
12280,Uncle Murda,Rah Diggs,1
12281,Papoose,Rah Diggs,1
12282,Waka Flocka Flame,Howard Stern,1
12283,DJ Whoo Kid,Howard Stern,1
12284,DJ Whoo Kid,Future,1
12285,Howard Stern,Future,1
12286,Waka Flocka Flame,Three 6 Mafia,1
12287,OJ Da Juiceman,Three 6 Mafia,1
12288,Waka Flocka Flame,Steve Aoki,1
12289,Waka Flocka Flame,Prince Ink,3
12290,Waka Flocka Flame,Lotto Savage,1
12291,Waka Flocka Flame,Loudine,1
12292,Lotto Savage,Loudine,1
12293,Waka Flocka Flame,Rico,1
12294,Prince Ink,Rico,1
12295,Waka Flocka Flame,La4ss,1
